canonical_tag,synonym_count,synonyms,applied_counts,total_applied,max_applied,creation_dates,earliest_synonym,latest_synonym
web-scraping,2,scraper|webpagescraping,504|0,504,504,2015-07-17|2015-07-17,2015-07-17,2015-07-17
ibm-cloud,2,ibm-bluemix|bluemix,63|435,498,435,2017-12-08|2016-06-07,2016-06-07,2017-12-08
android-arrayadapter,1,arrayadapter,494,494,494,2012-06-25,2012-06-25,2012-06-25
serial-port,1,rs232,493,493,493,2010-09-10,2010-09-10,2010-09-10
docusignapi,1,docusign,492,492,492,2019-03-08,2019-03-08,2019-03-08
user-experience,1,ux,491,491,491,2010-07-16,2010-07-16,2010-07-16
server-side-rendering,2,serverside-rendering|ssr,1|490,491,490,2019-12-12|2019-12-12,2019-12-12,2019-12-12
jquery-ui-sortable,2,jquery-sortable|sortable,55|435,490,435,2013-11-07|2013-11-07,2013-11-07,2013-11-07
cmd,1,cmd.exe,489,489,489,2010-11-21,2010-11-21,2010-11-21
opengl-es,1,opengles,488,488,488,2010-10-28,2010-10-28,2010-10-28
environment-variables,1,env,486,486,486,2015-07-07,2015-07-07,2015-07-07
amazon-sqs,2,aws-sqs|sqs,12|474,486,474,2018-07-12|2010-08-02,2010-08-02,2018-07-12
sharedpreferences,1,android-sharedpreferences,484,484,484,2018-09-02,2018-09-02,2018-09-02
django-queryset,2,django-queries|queryset,7|476,483,476,2010-08-01|2015-01-04,2010-08-01,2015-01-04
java-8,4,openjdk-8|jdk1.8.0|jdk1.8|jdk8,76|58|60|289,483,289,2020-04-26|2017-11-03|2014-09-27|2013-09-16,2013-09-16,2020-04-26
entity-framework-4,1,ef4,483,483,483,2010-07-16,2010-07-16,2010-07-16
racket,3,drracket|plt-scheme|drscheme,443|23|16,482,443,2012-07-16|2011-02-05|2011-02-05,2011-02-05,2012-07-16
equals,1,equal,482,482,482,2010-09-20,2010-09-20,2010-09-20
stuck-tag-newbie-career-development,4,employment|job-hunting|career-advice|career,4|2|241|232,479,241,2011-11-23|2011-11-23|2010-08-11|2010-08-11,2010-08-11,2011-11-23
amazon-elb,2,aws-load-balancer|elastic-load-balancer,3|476,479,476,2023-02-15|2017-03-11,2017-03-11,2023-02-15
asp.net-core,4,asp-net-core|aspnet-core|asp.net-vnext|asp.net-5,305|66|4|103,478,305,2020-01-02|2018-02-08|2016-01-22|2016-01-22,2016-01-22,2020-01-02
.net-core,2,dotnetcore|dotnet-core,391|86,477,391,2016-07-30|2016-10-31,2016-07-30,2016-10-31
preprocessor,4,preprocess|preprocessing|preprocessor-abuse|preprocessor-directives,80|347|14|36,477,347,2010-09-11|2010-09-11|2010-09-11|2010-09-11,2010-09-11,2010-09-11
jakarta-mail,2,javamail|javax.mail,135|341,476,341,2020-10-04|2011-07-14,2011-07-14,2020-10-04
bert-language-model,1,bert,473,473,473,2020-06-17,2020-06-17,2020-06-17
documentation,1,docs,471,471,471,2010-11-16,2010-11-16,2010-11-16
azure-sql-database,3,azure-sql-server|azure-sql|sql-azure,322|145|4,471,322,2022-11-15|2020-07-24|2016-06-23,2016-06-23,2022-11-15
ipc,2,inter-process-communicat|interprocess-communicatio,430|39,469,430,2013-01-31|2010-07-16,2010-07-16,2013-01-31
monads,1,monad,469,469,469,2010-10-18,2010-10-18,2010-10-18
internet-explorer-10,1,ie10,465,465,465,2012-05-14,2012-05-14,2012-05-14
angular-ui-router,2,angularjs-ui-router|ui-router,121|342,463,342,2015-04-21|2014-03-11,2014-03-11,2015-04-21
apple-m1,1,m1,462,462,462,2021-01-24,2021-01-24,2021-01-24
bootstrap-4,3,twitter-bootstrap-4-beta|bootstrap-4.1.x|twitter-bootstrap-4,2|7|453,462,453,2020-09-03|2020-09-03|2018-02-12,2018-02-12,2020-09-03
plotly,2,plotly-python|r-plotly,71|391,462,391,2024-05-01|2020-07-15,2020-07-15,2024-05-01
cpu-word,1,words,460,460,460,2018-08-17,2018-08-17,2018-08-17
shiny,1,rshiny,459,459,459,2021-07-09,2021-07-09,2021-07-09
callback,1,callbacks,458,458,458,2010-08-18,2010-08-18,2010-08-18
chef-infra,6,chefdk|chef-recipe|chef12.0|chef-solo|chef|opscode,2|283|0|9|151|11,456,283,2014-12-12|2014-12-12|2020-07-22|2014-12-12|2020-07-16|2014-11-19,2014-11-19,2020-07-22
compiler-construction,2,compiler-design|compilers,21|434,455,434,2016-10-12|2010-08-28,2010-08-28,2016-10-12
calendar,1,calender,455,455,455,2011-06-05,2011-06-05,2011-06-05
database-administration,1,dba,454,454,454,2012-08-17,2012-08-17,2012-08-17
interrupt,4,isr|irq|interrupt-handling|interrupts,69|32|152|201,454,201,2013-12-28|2013-12-28|2013-12-28|2013-08-16,2013-08-16,2013-12-28
orchardcms,1,orchard,453,453,453,2012-01-16,2012-01-16,2012-01-16
dependency-injection,1,di,451,451,451,2010-07-16,2010-07-16,2010-07-16
db2,1,ibm-db2,450,450,450,2014-11-18,2014-11-18,2014-11-18
logcat,1,android-logcat,450,450,450,2013-04-04,2013-04-04,2013-04-04
shader,1,shaders,450,450,450,2011-10-13,2011-10-13,2011-10-13
google-plus,2,google-plus-one|google+,0|450,450,450,2017-11-21|2011-07-05,2011-07-05,2017-11-21
breakpoints,1,breakpoint,449,449,449,2013-01-25,2013-01-25,2013-01-25
read-eval-print-loop,1,repl,448,448,448,2012-08-03,2012-08-03,2012-08-03
urlencode,3,url-encoding|percent-encoding|uriencoding,369|64|14,447,369,2010-11-17|2015-04-17|2015-04-17,2010-11-17,2015-04-17
apache-camel,1,camel,446,446,446,2015-11-21,2015-11-21,2015-11-21
include,2,includes|include-files,408|33,441,408,2010-08-09|2010-08-09,2010-08-09,2010-08-09
graph-theory,1,graph-algorithm,441,441,441,2011-01-13,2011-01-13,2011-01-13
resize,1,resizing,439,439,439,2012-07-11,2012-07-11,2012-07-11
plyr,1,ddply,439,439,439,2011-07-13,2011-07-13,2011-07-13
keyword,1,keywords,437,437,437,2012-08-06,2012-08-06,2012-08-06
categories,1,category,437,437,437,2019-02-09,2019-02-09,2019-02-09
finance,1,financial,436,436,436,2012-07-18,2012-07-18,2012-07-18
sequence,2,seq|sequences,91|343,434,343,2022-04-20|2018-08-26,2018-08-26,2022-04-20
windows-vista,1,vista,434,434,434,2010-07-16,2010-07-16,2010-07-16
inner-classes,3,nested-classes|nested-class|inner-class,8|380|45,433,380,2012-05-27|2012-05-28|2011-05-30,2011-05-30,2012-05-28
smoothing,2,smooth|curvesmoothing,403|29,432,403,2016-12-09|2016-12-08,2016-12-08,2016-12-09
helper,1,helpers,432,432,432,2018-08-27,2018-08-27,2018-08-27
azure,2,az|windows-azure,109|321,430,321,2020-08-26|2010-08-02,2010-08-02,2020-08-26
visual-studio-2017,1,vs2017,430,430,430,2017-05-16,2017-05-16,2017-05-16
refactoring,1,refactor,430,430,430,2010-08-05,2010-08-05,2010-08-05
portability,1,portable,429,429,429,2010-08-14,2010-08-14,2010-08-14
c-strings,2,c-string|cstring,38|390,428,390,2013-01-31|2015-02-24,2013-01-31,2015-02-24
graphics,2,graphic|computer-graphics,291|137,428,291,2018-08-12|2010-12-13,2010-12-13,2018-08-12
input,1,inputs,426,426,426,2010-09-07,2010-09-07,2010-09-07
assertion,1,assertions,425,425,425,2018-09-05,2018-09-05,2018-09-05
jaxb,1,jaxb2,424,424,424,2010-09-25,2010-09-25,2010-09-25
virtual-reality,1,vr,423,423,423,2017-08-21,2017-08-21,2017-08-21
oracle11g,1,11g,423,423,423,2010-09-01,2010-09-01,2010-09-01
tokenize,3,tokenizing|tokenizer|tokenization,44|266|113,423,266,2012-03-25|2012-03-25|2012-03-25,2012-03-25,2012-03-25
binding,1,bindings,422,422,422,2010-10-23,2010-10-23,2010-10-23
revit-api,1,revit,422,422,422,2020-10-07,2020-10-07,2020-10-07
apache-storm,1,storm,422,422,422,2015-10-21,2015-10-21,2015-10-21
huawei-mobile-services,21,hms-core|hms-analytics|hms-dynamic-tag-manager|hms-mlkit|hms-panorama|hms-site|hms-wallet|hms-map|hms-safety-detect|hms-fido|hms-game|hms-location-services|hms-push|hms-nearby|hms-scan|hms-awareness|hms-health|hms-drive|hms|hms-integration|huawei,2|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|69|0|349,422,349,2021-01-09|2020-06-06|2020-06-06|2020-06-06|2020-06-06|2020-06-06|2020-06-06|2020-06-06|2020-06-06|2020-06-06|2020-06-06|2020-06-06|2020-06-06|2020-06-06|2020-06-06|2020-06-06|2020-06-06|2020-06-06|2020-05-20|2020-03-22|2020-03-22,2020-03-22,2021-01-09
stack,1,stacks,421,421,421,2013-11-12,2013-11-12,2013-11-12
photo,1,photos,421,421,421,2018-08-26,2018-08-26,2018-08-26
cjk,3,chinese|korean|japanese,194|69|158,421,194,2019-01-01|2019-01-01|2019-01-01,2019-01-01,2019-01-01
process,1,processes,421,421,421,2014-03-07,2014-03-07,2014-03-07
memory-leaks,1,memory-leak,420,420,420,2010-07-22,2010-07-22,2010-07-22
googletest,1,gtest,416,416,416,2011-08-16,2011-08-16,2011-08-16
nose,2,nosetests|python-nose,407|9,416,407,2010-09-09|2010-09-09,2010-09-09,2010-09-09
literals,1,literal,414,414,414,2010-10-05,2010-10-05,2010-10-05
jena,1,apache-jena,414,414,414,2015-05-13,2015-05-13,2015-05-13
api,1,apis,414,414,414,2010-10-23,2010-10-23,2010-10-23
computer-vision,2,cv|machine-vision,359|54,413,359,2014-02-18|2010-08-24,2010-08-24,2014-02-18
full-text-search,5,fulltext-index|full-text-indexing|fulltext|fts|fulltext-searching,0|92|243|73|5,413,243,2025-11-09|2014-08-11|2012-03-12|2012-01-24|2010-08-09,2010-08-09,2025-11-09
specifications,2,spec|specification,213|196,409,213,2013-03-23|2013-03-23,2013-03-23,2013-03-23
dart,2,dart-sdk|dart-null-safety,6|402,408,402,2022-11-25|2023-01-04,2022-11-25,2023-01-04
android-camera2,2,camera2|android.harware.camera2,407|1,408,407,2017-06-27|2017-06-27,2017-06-27,2017-06-27
list-comprehension,1,comprehension,407,407,407,2013-03-22,2013-03-22,2013-03-22
google-cloud-dataflow,2,dataflow|google-dataflow,395|10,405,395,2022-03-08|2021-02-09,2021-02-09,2022-03-08
spreadsheet,1,spreadsheets,405,405,405,2010-10-06,2010-10-06,2010-10-06
microsoft-graph-api,4,msgraph|microsoft-graph|ms-graph|microsoftgraph,20|215|21|149,405,215,2022-04-08|2020-06-27|2017-06-12|2017-08-13,2017-06-12,2022-04-08
http-live-streaming,1,hls,404,404,404,2019-06-05,2019-06-05,2019-06-05
layout,3,html-layout|htmllayout|layouts,3|3|397,403,397,2019-12-12|2019-12-12|2010-10-23,2010-10-23,2019-12-12
webassembly,1,wasm,403,403,403,2020-08-26,2020-08-26,2020-08-26
download,3,downloading|file-download|downloads,98|75|229,402,229,2019-06-05|2014-02-16|2010-10-23,2010-10-23,2019-06-05
message,1,messages,400,400,400,2018-08-18,2018-08-18,2018-08-18
numeric,2,numerics|numerical,31|369,400,369,2018-08-13|2018-08-13,2018-08-13,2018-08-13
android-4.4-kitkat,2,android-4.4|kitkat,7|393,400,393,2014-04-05|2013-11-02,2013-11-02,2014-04-05
azure-mobile-services,2,azure-mobile-app|wams,396|3,399,396,2016-03-17|2013-02-07,2013-02-07,2016-03-17
diacritics,3,umlauts|accents|accent,77|133|188,398,188,2012-04-30|2012-04-29|2010-09-10,2010-09-10,2012-04-30
flash,4,flash-ide|flash-player|swf|adobe-flash,0|4|306|88,398,306,2015-09-06|2015-09-06|2010-12-05|2010-08-01,2010-08-01,2015-09-06
in-app-purchase,1,iap,397,397,397,2013-11-25,2013-11-25,2013-11-25
transition,1,transitions,396,396,396,2010-09-26,2010-09-26,2010-09-26
dojo,7,dojo-store|dojo-layer|dojo.stateful|dojo-require|dojo.data|dijit|dojox,0|0|0|0|0|253|142,395,253,2014-07-23|2014-07-23|2014-07-23|2014-07-23|2014-07-23|2010-09-09|2010-09-09,2010-09-09,2014-07-23
timer,1,timers,394,394,394,2010-09-09,2010-09-09,2010-09-09
token,1,tokens,392,392,392,2012-03-25,2012-03-25,2012-03-25
frame-rate,1,fps,391,391,391,2016-10-03,2016-10-03,2016-10-03
decorator,2,decorator-pattern|decorators,2|388,390,388,2020-03-22|2010-10-25,2010-10-25,2020-03-22
entity-framework-6,2,entity-framework-6.1|ef6,127|262,389,262,2015-06-18|2014-08-15,2014-08-15,2015-06-18
data-structures,1,data-structure,388,388,388,2010-07-22,2010-07-22,2010-07-22
f#,1,fsharp,387,387,387,2010-07-25,2010-07-25,2010-07-25
dynamic-memory-allocation,1,dynamic-allocation,386,386,386,2013-03-27,2013-03-27,2013-03-27
internals,1,internal,386,386,386,2018-08-31,2018-08-31,2018-08-31
coding-style,9,code-conventions|spaghetti-code|coding-guidelines|ugly-code|clean-code|coding-standards|coding-convention|code-style|programming-style,4|7|12|2|125|48|32|134|21,385,134,2019-03-30|2011-06-01|2011-09-07|2011-05-18|2011-05-30|2010-10-28|2010-10-28|2010-07-16|2010-07-16,2010-07-16,2019-03-30
cakephp,1,cake,385,385,385,2011-07-28,2011-07-28,2011-07-28
bit,1,bits,385,385,385,2015-09-14,2015-09-14,2015-09-14
dataset,2,custom-dataset|datasets,4|379,383,379,2022-12-14|2010-10-23,2010-10-23,2022-12-14
sapui5,9,sapui5-smart-table|ui5-library|sapui5-smarttable|sapui5-opa|sapui5-smartfield|sapui5-theming|openui5|sapui|ui5,0|0|1|0|0|0|116|16|250,383,250,2021-01-05|2020-05-24|2020-05-24|2020-05-24|2020-05-24|2020-05-24|2017-09-15|2017-09-15|2017-09-15,2017-09-15,2021-01-05
java-7,2,jdk7|java-7.0,382|0,382,382,2010-11-10|2010-07-16,2010-07-16,2010-11-10
maven,1,mvn,382,382,382,2014-01-23,2014-01-23,2014-01-23
amazon-kms,1,aws-kms,382,382,382,2018-01-30,2018-01-30,2018-01-30
riverpod,1,flutter-riverpod,378,378,378,2022-10-24,2022-10-24,2022-10-24
fix-protocol,1,fix,377,377,377,2010-07-16,2010-07-16,2010-07-16
swift,3,swift1.2|swift-ios|swift-language,95|15|267,377,267,2015-04-09|2014-06-05|2014-06-03,2014-06-03,2015-04-09
osx-snow-leopard,3,osx-10.6|snow-leopard|macos10.6,1|224|151,376,224,2011-10-26|2010-07-16|2010-07-16,2010-07-16,2011-10-26
httprequest,1,http-request,376,376,376,2017-03-16,2017-03-16,2017-03-16
actionscript-2,1,as2,375,375,375,2010-10-20,2010-10-20,2010-10-20
attachment,1,attachments,375,375,375,2013-01-17,2013-01-17,2013-01-17
large-language-model,1,llm,373,373,373,2023-06-09,2023-06-09,2023-06-09
hard-drive,2,hdd|harddisk,274|96,370,274,2018-06-08|2012-12-28,2012-12-28,2018-06-08
x86-16,2,8088|8086,6|364,370,364,2017-09-29|2017-09-29,2017-09-29,2017-09-29
compiler-errors,5,compilation-error|compilation-errors|compile-error|compile-errors|compiler-error,34|49|82|89|113,367,113,2010-10-01|2010-10-01|2010-10-01|2010-10-01|2010-09-29,2010-09-29,2010-10-01
scanf,2,fscanf|sscanf,236|130,366,236,2016-02-09|2016-02-09,2016-02-09,2016-02-09
watson-assistant,1,watson-conversation,365,365,365,2018-04-01,2018-04-01,2018-04-01
tools,1,tool,365,365,365,2010-07-22,2010-07-22,2010-07-22
roles,1,role,364,364,364,2018-08-27,2018-08-27,2018-08-27
permalinks,1,permalink,363,363,363,2010-11-29,2010-11-29,2010-11-29
deep-linking,1,deeplink,361,361,361,2016-06-06,2016-06-06,2016-06-06
uber-api,1,uber,359,359,359,2015-03-23,2015-03-23,2015-03-23
dll,4,dll-hell|dynamic-link-library|dlls|.dll,62|8|82|207,359,207,2013-04-23|2010-10-25|2010-09-01|2010-08-09,2010-08-09,2013-04-23
lambda,4,generic-lambda|lambdaexpression|lambda-functions|lambda-expressions,63|6|24|264,357,264,2020-05-16|2020-05-29|2014-08-29|2010-10-30,2010-10-30,2020-05-29
iis-7,1,iis7,357,357,357,2013-12-04,2013-12-04,2013-12-04
marshalling,2,marshaling|marshal,81|275,356,275,2010-07-16|2010-07-16,2010-07-16,2010-07-16
directed-acyclic-graphs,1,dag,356,356,356,2012-08-22,2012-08-22,2012-08-22
visual-studio-2005,1,vs2005,356,356,356,2010-07-16,2010-07-16,2010-07-16
subprocess,2,python-subprocess-module|subprocesses,322|33,355,322,2011-08-19|2010-08-23,2010-08-23,2011-08-19
amazon-sagemaker,2,aws-sagemaker|sagemaker,10|344,354,344,2019-03-17|2019-03-17,2019-03-17,2019-03-17
confluent-platform,2,confluent|confluent-kafka,218|135,353,218,2019-09-10|2019-09-10,2019-09-10,2019-09-10
android-livedata,2,android-architecture-livedata|livedata,5|347,352,347,2019-03-11|2019-03-11,2019-03-11,2019-03-11
xss,2,xss-prevention|cross-site-scripting,266|86,352,266,2010-11-05|2010-09-06,2010-09-06,2010-11-05
zeromq,1,zmq,352,352,352,2012-07-19,2012-07-19,2012-07-19
t-sql,2,tsql|transact-sql,140|212,352,212,2023-09-22|2010-07-17,2010-07-17,2023-09-22
borrow-checker,1,borrowing,352,352,352,2021-03-10,2021-03-10,2021-03-10
dialogflow-es,2,dialogflow|api.ai,345|5,350,345,2020-09-05|2017-10-10,2017-10-10,2020-09-05
symbols,1,symbol,349,349,349,2015-08-08,2015-08-08,2015-08-08
range,1,ranges,348,348,348,2013-12-11,2013-12-11,2013-12-11
out-of-memory,3,oom|outofmemoryerror|outofmemoryexception,12|267|68,347,267,2023-11-23|2013-07-15|2013-07-15,2013-07-15,2023-11-23
highlight,1,highlighting,346,346,346,2014-10-09,2014-10-09,2014-10-09
publish-subscribe,1,pubsub,346,346,346,2010-10-03,2010-10-03,2010-10-03
ghost-blog,1,ghost,345,345,345,2018-08-13,2018-08-13,2018-08-13
angularjs,2,angular1.x|angular.js,9|336,345,336,2017-04-19|2014-06-17,2014-06-17,2017-04-19
lotus-domino,1,domino,344,344,344,2012-06-23,2012-06-23,2012-06-23
android-tabhost,1,tabhost,344,344,344,2012-06-25,2012-06-25,2012-06-25
rules,1,rule,343,343,343,2018-08-28,2018-08-28,2018-08-28
modeling,1,modelling,342,342,342,2012-07-20,2012-07-20,2012-07-20
windows-services,2,winservice|windows-service,11|328,339,328,2012-03-13|2010-07-22,2010-07-22,2012-03-13
kotlin-multiplatform,2,kotlin-multiplatform-mobile|kmm,141|195,336,195,2021-08-10|2021-08-03,2021-08-03,2021-08-10
facebook-fql,1,fql,335,335,335,2013-07-27,2013-07-27,2013-07-27
at-command,1,at,334,334,334,2012-02-15,2012-02-15,2012-02-15
subscription,1,subscriptions,332,332,332,2018-08-31,2018-08-31,2018-08-31
userscripts,1,userscript,331,331,331,2010-10-13,2010-10-13,2010-10-13
firemonkey,1,fmx,331,331,331,2013-10-07,2013-10-07,2013-10-07
cil,2,il|msil,81|249,330,249,2011-08-29|2010-07-18,2010-07-18,2011-08-29
nested,1,nesting,329,329,329,2011-08-13,2011-08-13,2011-08-13
std,2,c++-standard-library|stdlib,11|318,329,318,2023-10-06|2012-06-09,2012-06-09,2023-10-06
augmented-reality,1,ar,327,327,327,2021-02-09,2021-02-09,2021-02-09
jsf-2,1,jsf2.0,326,326,326,2010-07-16,2010-07-16,2010-07-16
tfs,2,team-foundation-server|team-foundation,303|22,325,303,2010-07-16|2010-07-16,2010-07-16,2010-07-16
symbolic-math,2,computer-algebra-systems|symbolic-computation,84|240,324,240,2014-02-03|2014-02-03,2014-02-03,2014-02-03
homebrew,1,brew,324,324,324,2019-02-11,2019-02-11,2019-02-11
java-web-start,3,webstart|javaws|jws,102|51|171,324,171,2013-08-07|2010-09-27|2010-08-25,2010-08-25,2013-08-07
grep,3,pgrep|fgrep|egrep,39|18|265,322,265,2013-04-24|2013-09-11|2012-05-22,2012-05-22,2013-09-11
decimal,1,decimals,322,322,322,2013-10-21,2013-10-21,2013-10-21
azure-cosmosdb,1,azure-documentdb,319,319,319,2017-06-16,2017-06-16,2017-06-16
azure-active-directory,1,azuread,318,318,318,2016-08-29,2016-08-29,2016-08-29
subset,1,subsetting,318,318,318,2014-04-11,2014-04-11,2014-04-11
assets,1,asset,317,317,317,2014-04-13,2014-04-13,2014-04-13
shortcut,1,shortcuts,317,317,317,2018-08-27,2018-08-27,2018-08-27
git-submodules,2,submodules|submodule,89|226,315,226,2014-08-12|2014-08-12,2014-08-12,2014-08-12
breadth-first-search,1,bfs,315,315,315,2010-12-28,2010-12-28,2010-12-28
product,1,products,312,312,312,2018-08-30,2018-08-30,2018-08-30
jetbrains-ide,1,jetbrains,310,310,310,2019-04-02,2019-04-02,2019-04-02
average,1,avg,310,310,310,2014-02-19,2014-02-19,2014-02-19
python-c-api,1,python-c-extension,309,309,309,2015-07-31,2015-07-31,2015-07-31
flutter-getx,1,getx,308,308,308,2021-09-13,2021-09-13,2021-09-13
matplotlib-basemap,1,basemap,308,308,308,2015-09-30,2015-09-30,2015-09-30
twitter-fabric,1,fabric-twitter,307,307,307,2016-04-28,2016-04-28,2016-04-28
prepared-statement,4,parameterized-query|parameterized-queries|prepare|prepared-statements,94|0|173|39,306,173,2020-10-15|2020-10-15|2017-05-17|2011-07-21,2011-07-21,2020-10-15
indexoutofboundsexception,1,arrayindexoutofbounds,306,306,306,2013-01-24,2013-01-24,2013-01-24
kernel,1,kernel-programming,304,304,304,2010-11-15,2010-11-15,2010-11-15
osx-mavericks,2,osx-10.9|mavericks,6|298,304,298,2013-11-17|2013-10-31,2013-10-31,2013-11-17
system-calls,2,syscall|system-call,244|58,302,244,2011-11-05|2011-11-05,2011-11-05,2011-11-05
google-maps-markers,2,markers|marker,133|168,301,168,2013-05-16|2013-05-16,2013-05-16,2013-05-16
meteor,2,meteor.js|meteorjs,37|262,299,262,2015-11-13|2015-02-10,2015-02-10,2015-11-13
tablesorter,1,jquery-tablesorter,298,298,298,2012-03-05,2012-03-05,2012-03-05
linear-regression,1,multiple-regression,298,298,298,2016-10-28,2016-10-28,2016-10-28
python.net,1,pythonnet,297,297,297,2017-11-10,2017-11-10,2017-11-10
rolling-computation,1,rolling,296,296,296,2019-02-17,2019-02-17,2019-02-17
blogger,1,blogspot,296,296,296,2017-02-18,2017-02-18,2017-02-18
video.js,1,videojs,295,295,295,2015-03-18,2015-03-18,2015-03-18
farsi,1,persian,294,294,294,2012-09-11,2012-09-11,2012-09-11
regex-lookarounds,3,lookahead|negative-lookahead|lookaround,112|148|33,293,148,2014-10-17|2014-10-17|2014-10-14,2014-10-14,2014-10-17
generator,1,generators,292,292,292,2010-10-06,2010-10-06,2010-10-06
cpu-registers,2,general-purpose-registers|registers,1|291,292,291,2018-11-17|2011-09-02,2011-09-02,2018-11-17
sprite,1,sprites,291,291,291,2014-10-30,2014-10-30,2014-10-30
row,1,rows,290,290,290,2022-09-19,2022-09-19,2022-09-19
bookmarks,1,bookmark,289,289,289,2010-09-25,2010-09-25,2010-09-25
youtube-api,3,python-youtube-api|youtube-javascript-api|youtube.net-api,0|287|2,289,287,2020-09-20|2020-09-15|2020-09-15,2020-09-15,2020-09-20
crash,2,appcrash|crashes,37|251,288,251,2019-04-02|2011-11-05,2011-11-05,2019-04-02
exchangewebservices,2,exchangews|ews,0|288,288,288,2017-05-25|2017-05-25,2017-05-25,2017-05-25
axapta,3,ax|dynamics-ax|microsoft-dynamics-ax,248|34|6,288,248,2012-02-16|2010-09-02|2010-09-02,2010-09-02,2012-02-16
circular-dependency,2,cyclic-dependency|circular,13|274,287,274,2021-05-29|2018-12-25,2018-12-25,2021-05-29
svg,4,svg-favicon|svg-image|svg-path|svgz,0|4|265|17,286,265,2021-08-28|2020-01-25|2017-03-22|2015-12-02,2015-12-02,2021-08-28
indentation,1,indent,286,286,286,2014-05-19,2014-05-19,2014-05-19
unix,2,unix-utils|unix-programming,61|223,284,223,2012-07-09|2010-10-26,2010-10-26,2012-07-09
recommendation-engine,3,recommendation-system|recommender-systems|recommendation,6|1|276,283,276,2022-10-08|2022-10-08|2013-02-17,2013-02-17,2022-10-08
menu,1,menus,283,283,283,2010-10-23,2010-10-23,2010-10-23
controller,1,controllers,282,282,282,2018-08-16,2018-08-16,2018-08-16
r,3,base-r|r-language|rstats,3|29|250,282,250,2022-06-30|2014-12-17|2010-07-22,2010-07-22,2022-06-30
zend-framework2,1,zf2,281,281,281,2014-05-11,2014-05-11,2014-05-11
packet,1,packets,281,281,281,2018-08-31,2018-08-31,2018-08-31
record,1,records,280,280,280,2018-08-27,2018-08-27,2018-08-27
tutorials,1,tutorial,280,280,280,2010-07-22,2010-07-22,2010-07-22
openid-connect,2,openidc|oidc,0|280,280,280,2022-12-29|2018-07-19,2018-07-19,2022-12-29
truetype,2,true-type-fonts|ttf,15|264,279,264,2015-12-28|2010-08-01,2010-08-01,2015-12-28
visual-sourcesafe,1,vss,279,279,279,2010-07-16,2010-07-16,2010-07-16
iframe,1,iframes,276,276,276,2010-10-20,2010-10-20,2010-10-20
python-tesseract,1,pytesseract,276,276,276,2019-05-22,2019-05-22,2019-05-22
javax.imageio,1,imageio,275,275,275,2013-07-21,2013-07-21,2013-07-21
swift3,4,swift3.1|swift3.0.2|swift3.0.1|swift3.0,120|54|0|100,274,120,2017-04-02|2016-12-14|2016-11-19|2016-05-21,2016-05-21,2017-04-02
endpoint,1,endpoints,274,274,274,2018-09-04,2018-09-04,2018-09-04
dialog,3,dialogbox|dialogue|dialogs,73|60|138,271,138,2015-07-13|2015-12-26|2010-10-23,2010-10-23,2015-12-26
instance,1,instances,270,270,270,2018-08-21,2018-08-21,2018-08-21
google-developers-console,1,google-console-developer,269,269,269,2020-02-20,2020-02-20,2020-02-20
realm,5,realm-net|realm-cocoa|android-realm|realmswift|realm.io,17|100|28|98|25,268,100,2016-07-07|2016-04-08|2016-04-08|2016-04-06|2015-04-28,2015-04-28,2016-07-07
autowired,2,autowire|autowiring,179|89,268,179,2012-01-15|2010-10-02,2010-10-02,2012-01-15
spline,3,bspline|cubic-spline|splines,72|63|131,266,131,2016-10-27|2016-10-27|2016-10-27,2016-10-27,2016-10-27
xmpp,1,jabber,265,265,265,2011-06-27,2011-06-27,2011-06-27
aws-lambda,1,amazon-lambda,265,265,265,2015-01-19,2015-01-19,2015-01-19
instantiation,1,instantiate,265,265,265,2011-12-28,2011-12-28,2011-12-28
wordpress-gutenberg,1,gutenberg,264,264,264,2018-12-07,2018-12-07,2018-12-07
event-listener,2,eventlistener|event-listeners,262|2,264,262,2017-08-13|2017-08-13,2017-08-13,2017-08-13
angular-material-table,1,mat-table,263,263,263,2022-02-07,2022-02-07,2022-02-07
elisp,1,emacs-lisp,262,262,262,2010-08-04,2010-08-04,2010-08-04
office365api,1,office365-restapi,262,262,262,2017-04-10,2017-04-10,2017-04-10
limit,1,limits,261,261,261,2018-08-18,2018-08-18,2018-08-18
mocha.js,1,mocha,259,259,259,2021-01-11,2021-01-11,2021-01-11
border,1,borders,259,259,259,2012-02-22,2012-02-22,2012-02-22
wildcard,1,wildcards,257,257,257,2011-02-11,2011-02-11,2011-02-11
port,1,ports,256,256,256,2018-08-17,2018-08-17,2018-08-17
radio-button,3,radiobutton|option-button|optionbutton,238|1|16,255,238,2019-02-09|2019-02-09|2019-02-09,2019-02-09,2019-02-09
select,1,select-query,254,254,254,2017-01-30,2017-01-30,2017-01-30
storage,1,storing,254,254,254,2013-01-12,2013-01-12,2013-01-12
wcf,1,wcf-service,253,253,253,2011-09-21,2011-09-21,2011-09-21
system,1,systems,253,253,253,2012-02-06,2012-02-06,2012-02-06
coinbase-api,1,coinbase,253,253,253,2017-12-20,2017-12-20,2017-12-20
reportingservices-2005,1,ssrs-2005,253,253,253,2010-08-04,2010-08-04,2010-08-04
cloud,2,cloud-hosting|cloud-computing,29|222,251,222,2012-01-21|2010-08-02,2010-08-02,2012-01-21
